SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
0.0,46.69967889504629,0.124205091321759,-0.0074126089641339,-0.080956186738358,260.6284318721151,-662.9763688123285,-50.36022612020192,-556.0078196554202
0.001,46.699710804290255,0.1241963779408091,-0.007406266221307,-0.0809423861189858,260.6429429053047,-662.6233848655784,-50.35283779212115,-555.934093671734
0.002,46.69974275827591,0.1241876653221323,-0.0073999239778675,-0.0809285865089852,260.6574536460278,-662.2704085268115,-50.34544996738524,-555.8603725725027
0.003,46.69977475699609,0.1241789534656894,-0.0073935822337923,-0.0809147879083136,260.671964094284,-661.917439796036,-50.33806264597298,-555.7866563575221
0.004,46.6998068004436,0.1241702423714411,-0.0073872409890585,-0.0809009903169277,260.68647425007345,-661.5644786732455,-50.33067582786301,-555.7129450265877
0.005,46.69983888861123,0.1241615320393482,-0.0073809002436428,-0.0808871937347843,260.7009841133963,-661.211525158441,-50.32328951303391,-555.6392385794943
0.006,46.69987102149183,0.1241528224693715,-0.0073745599975222,-0.0808733981618405,260.7154936842524,-660.8585792516224,-50.31590370146448,-555.565537016038
0.007,46.699903199078186,0.1241441136614717,-0.0073682202506736,-0.0808596035980533,260.7300029626416,-660.5056409527924,-50.30851839313327,-555.4918403360139
0.008,46.69993542136313,0.1241354056156093,-0.0073618810030739,-0.0808458100433794,260.7445119485644,-660.1527102619466,-50.30113358801897,-555.4181485392169
0.009,46.69996768833947,0.1241266983317455,-0.0073555422547001,-0.0808320174977758,260.75902064202023,-659.7997871790903,-50.29374928610029,-555.3444616254433
0.01,46.7,0.1241179918098408,-0.0073492040055291,-0.0808182259611996,260.7735290430094,-659.4468717042191,-50.28636548735589,-555.2707795944883
0.011,46.70003235633756,0.124109286049856,-0.0073428662555378,-0.0808044354336076,260.7880371515319,-659.093963837332,-50.2789821917644,-555.1971024461466
0.012,46.70006475734496,0.1241005810517519,-0.007336529004703,-0.0807906459149567,260.80254496758755,-658.7410635784345,-50.27159939930456,-555.123430180215
0.013,46.700097203015,0.1240918768154891,-0.0073301922530018,-0.080776857405204,260.8170524911765,-658.3881709275238,-50.26421710995497,-555.0497627964878
0.014,46.7001296933405,0.1240831733410285,-0.007323856000411,-0.0807630699043061,260.83155972229883,-658.0352858845963,-50.25683532369429,-554.9761002947606
0.015,46.70016222831428,0.1240744706283308,-0.0073175202469076,-0.0807492834122203,260.8460666609544,-657.6824084496575,-50.24945404050128,-554.9024426748294
0.016,46.70019480792914,0.1240657686773568,-0.0073111849924686,-0.0807354979289034,260.8605733071431,-657.3295386227082,-50.24207326035453,-554.8287899364896
0.017,46.7002274321779,0.1240570674880672,-0.0073048502370706,-0.0807217134543122,260.8750796608653,-656.9766764037395,-50.23469298323269,-554.7551420795355
0.018,46.70026010105338,0.1240483670604229,-0.0072985159806909,-0.0807079299884039,260.88958572212067,-656.6238217927612,-50.22731320911456,-554.6814991037644
0.019,46.70029281454838,0.1240396673943845,-0.0072921822233062,-0.0806941475311353,260.90409149090925,-656.2709747897707,-50.219933937978695,-554.6078610089705
0.02,46.70032557265573,0.1240309684899127,-0.0072858489648935,-0.0806803660824632,260.9185969672312,-655.9181353947624,-50.212555169803736,-554.5342277949491
0.021,46.70035837536823,0.1240222703469685,-0.0072795162054297,-0.0806665856423449,260.9331021510864,-655.5653036077429,-50.2051769045685,-554.4605994614969
0.022,46.700391222678704,0.1240135729655126,-0.0072731839448917,-0.080652806210737,260.9476070424748,-655.212479428712,-50.197799142251554,-554.3869760084084
0.023,46.70042411457995,0.1240048763455056,-0.0072668521832565,-0.0806390277875965,260.96211164139663,-654.8596628576634,-50.19042188283157,-554.3133574354789
0.024,46.7004570510648,0.1239961804869085,-0.007260520920501,-0.0806252503728806,260.97661594785166,-654.5068538946043,-50.1830451262873,-554.2397437425047
0.025,46.700490032126055,0.1239874853896818,-0.007254190156602,-0.0806114739665459,260.99111996183984,-654.1540525395303,-50.17566887259734,-554.1661349292809
0.026,46.70052305775653,0.1239787910537864,-0.0072478598915366,-0.0805976985685495,261.0056236833615,-653.8012587924432,-50.16829312174036,-554.0925309956026
0.027,46.70055612794905,0.1239700974791832,-0.0072415301252817,-0.0805839241788484,261.0201271124163,-653.4484726533437,-50.16091787369511,-554.0189319412661
0.028,46.70058924269641,0.1239614046658329,-0.0072352008578142,-0.0805701507973996,261.0346302490044,-653.0956941222303,-50.15354312844023,-553.9453377660667
