SoC,OCV
0.0,42.99633542395996
0.001,42.99768489901607
0.002,42.999034402108215
0.003,43.000383933081515
0.004,43.001733491781145
0.005,43.00308307805221
0.006,43.00443269173984
0.007,43.00578233268919
0.008,43.00713200074539
0.009,43.00848169575357
0.01,43.009831417558864
0.011,43.011181166006416
0.012,43.012530940941346
0.013,43.01388074220881
0.014,43.01523056965393
0.015,43.01658042312184
0.016,43.01793030245768
0.017,43.019280207506576
0.018,43.02063013811367
0.019,43.0219800941241
0.02,43.023330075383
0.021,43.024680081735504
0.022,43.02603011302674
0.023,43.02738016910186
0.024,43.02873024980598
0.025,43.03008035498424
0.026,43.03143048448179
0.027,43.03278063814374
0.028,43.034130815815246
0.029,43.03548101734143
0.03,43.03683124256744
0.031,43.0381814913384
0.032,43.03953176349945
0.033,43.04088205889571
0.034,43.04223237737235
0.035,43.04358271877447
0.036,43.044933082947225
0.037,43.04628346973575
0.038,43.04763387898516
0.039,43.048984310540604
0.04,43.050334764247225
0.041,43.05168523995015
0.042,43.05303573749452
0.043,43.05438625672545
0.044,43.0557367974881
0.045,43.05708735962759
0.046,43.05843794298906
0.047,43.05978854741764
0.048,43.06113917275847
0.049,43.06248981885669
0.05,43.063840485557435
0.051,43.06519117270582
0.052,43.066541880147
0.053,43.067892607726115
0.054,43.069243355288286
0.055,43.07059412267864
0.056,43.071944909742335
0.057,43.073295716324495
0.058,43.07464654227025
0.059,43.07599738742474
0.06,43.07734825163311
0.061,43.07869913474047
0.062,43.08005003659198
0.063,43.08140095703277
0.064,43.082751895907954
0.065,43.084102853062696
0.066,43.08545382834212
0.067,43.08680482159135
0.068,43.08815583265554
0.069,43.08950686137981
0.07,43.0908579076093
0.071,43.09220897118915
0.072,43.09356005196449
0.073,43.09491114978045
0.074,43.096262264482185
0.075,43.097613395914806
0.076,43.09896454392345
0.077,43.10031570835328
0.078,43.101666889049405
0.079,43.10301808585695
0.08,43.10436929862108
0.081,43.105720527186925
0.082,43.10707177139959
0.083,43.10842303110425
0.084,43.109774306146015
0.085,43.111125596370016
0.086,43.11247690162142
0.087,43.11382822174533
0.088,43.11517955658688
0.089,43.11653090599124
0.09,43.11788226980351
0.091,43.11923364786883
0.092,43.12058504003235
0.093,43.1219364461392
0.094,43.1232878660345
0.095,43.12463929956341
0.096,43.12599074657105
0.097,43.127342206902554
0.098,43.12869368040306
0.099,43.13004516691771
0.1,43.13139666629163
0.101,43.13274817836995
0.102,43.13409970299782
0.103,43.135451240020366
0.104,43.136802789282726
0.105,43.13815435063003
0.106,43.139505923907414
0.107,43.140857508960025
0.108,43.142209105632986
